from,to,is_success
6,24,0
15,18,0
3,8,0
23,18,0
19,16,0
6,9,1
20,4,1
9,3,0
8,18,1
23,16,1
8,16,0
22,10,1
7,1,0
13,11,0
4,23,1
20,9,0
21,8,0
24,8,0
15,10,0
21,10,0
10,21,1
23,15,0
2,19,0
23,13,1
15,22,1
12,24,0
5,8,0
9,11,0
19,1,0
21,12,1
24,16,1
23,24,1
13,24,1
22,20,1
13,7,1
22,16,0
10,8,1
18,16,0
17,19,1
6,19,0
22,12,1
23,14,1
2,12,0
7,13,0
15,2,0
21,19,0
21,11,0
15,17,1
6,16,1
24,8,0
10,12,1
22,20,1
22,11,0
16,22,1
6,1,1
21,7,1
8,6,1
19,7,1
24,2,0
2,21,0
18,11,0
15,15,0
17,11,1
14,6,1
17,2,1
14,20,1
4,7,1
23,9,0
5,16,1
24,2,1
8,4,0
1,7,0
13,17,1
22,18,0
17,11,1
11,21,0
23,22,0
17,9,0
5,10,1
21,18,1
18,3,0
4,5,0
17,7,1
9,24,0
20,7,0
7,12,1
6,11,0
20,7,1
10,18,0
3,10,1
18,20,0
1,14,1
16,19,0
23,21,0
18,11,1
24,2,1
5,10,0
12,24,1
6,18,1
23,15,0
18,15,1
24,11,0
10,7,1
13,4,1
10,17,1
11,15,0
12,13,0
22,10,1
17,13,0
13,8,0
3,6,1
21,23,0
12,19,0
20,22,1
4,15,0
9,23,0
12,3,0
23,19,0
19,9,0
5,7,1
13,6,0
3,18,0
13,15,1
24,23,0
14,8,0
20,6,1
23,11,1
11,17,1
7,18,0
7,8,1
6,5,0
13,1,1
13,23,0
24,13,0
11,22,1
18,12,0
20,9,0
1,4,1
16,22,0
13,17,0
12,20,0
18,10,0
11,2,0
23,17,1
19,16,0
20,20,1
17,3,1
15,23,0
13,12,1
23,6,1
5,22,1
19,1,1
6,19,0
9,7,0
1,11,0
2,18,0
6,8,1
14,17,0
6,5,0
16,17,0
11,10,0
5,2,1
2,2,1
17,2,0
16,3,1
20,6,0
5,24,0
17,22,1
2,20,1
21,18,1
3,11,0
9,6,1
5,19,0
9,2,1
13,16,0
5,9,1
18,16,1
6,1,0
8,22,1
17,21,0
14,18,0
4,11,0
5,21,0
12,4,1
8,12,0
13,22,1
15,21,1
20,13,0
5,13,1
4,18,0
8,7,0
4,3,0
17,10,0
3,5,1
21,15,1
23,18,0
24,23,0
16,17,1
21,16,0
10,6,1
24,22,0
8,19,0
15,22,0
3,19,0
5,21,1
24,5,0
1,15,0
20,6,0
4,15,0
2,7,1
2,14,1
12,20,0
19,9,0
21,6,1
4,24,1
13,15,1
14,16,1
15,22,0
21,8,0
1,19,1
3,13,0
4,6,1
6,4,0
18,24,1
21,6,0
21,15,1
2,17,1
20,12,0
13,10,0
13,9,0
17,12,1
14,2,1
20,19,0
4,23,0
22,22,0
1,14,0
16,6,1
5,19,1
9,10,0
22,4,1
18,24,0
3,14,0
19,15,1
6,22,1
3,10,1
1,2,0
18,6,0
22,23,0
6,22,0
3,12,0
17,1,1
16,24,0
12,16,1
3,12,0
24,1,0
20,10,0
22,22,0
6,14,1
20,18,0
4,6,0
7,21,1
5,17,1
12,18,1
4,8,1
13,2,1
23,10,0
9,22,1
3,10,0
19,24,0
15,13,1
22,18,0
7,21,0
20,11,0
1,23,0
14,8,1
1,5,0
7,16,1
18,23,0
3,9,1
6,14,0
9,4,1
17,12,1
16,16,1
15,11,0
9,16,0
7,12,1
23,19,0
8,10,1
21,22,0
20,13,1
4,12,0
9,19,1
23,3,0
20,11,0
19,9,1
9,23,0
8,17,0
10,4,0
22,13,1
6,14,0
